Player,Pos,Age,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,SCA,GCA,Cmp,Att,cpm%,PrgP,PrgC,TOatt,TOsucc
Ariana Jimenez,RW,20-342,18,0,0,1,0,0,0,4,0,0,0,0,0,1,2,50.0,0,0,0,0
Alexia Putellas,LM,30-087,90,1,3,2,2,0,0,99,1,0,1,8,3,71,88,80.7,10,2,6,3
Patricia Guijarro,CM,25-350,58,0,0,3,1,0,0,72,2,1,1,2,1,54,59,91.5,6,1,0,0
Ona Batlle,CM,24-326,32,1,0,1,1,0,0,39,0,1,1,3,0,28,33,84.8,3,3,4,1
Victoria López,RM,17-280,90,1,0,3,1,0,0,98,0,2,2,6,2,75,85,88.2,12,6,1,1
Esmee Brugts,LB,20-278,90,1,1,1,1,0,0,66,1,1,2,5,2,50,60,83.3,5,4,4,1
Jana Fernández,CB,22-073,90,0,0,0,0,0,0,112,6,2,1,2,0,100,103,97.1,15,3,0,0
Martina Fernández,CB,19-213,90,0,0,1,0,0,0,87,1,1,0,0,0,78,81,96.3,7,0,0,0
Marta Torrejón,RB,34-064,90,2,0,6,3,0,0,90,0,0,1,1,0,70,80,87.5,6,1,0,0
Sandra Paños,GK,31-179,90,0,0,0,0,0,0,22,0,0,0,0,0,20,21,95.2,1,0,0,0
13 Players,"FW,RM",31-179,990,8,7,30,18,0,0,918,18,10,13,54,16,723,806,89.7,90,28,22,9
Karen Araya,FW,33-198,90,0,0,1,0,0,0,47,2,2,1,0,0,30,39,76.9,4,1,0,0
Esther Onyenezide,"LB,LM",20-306,75,0,0,0,0,0,0,9,0,0,0,1,0,6,8,75.0,2,0,1,0
Laura Domínguez,CM,26-263,15,0,0,0,0,1,0,38,1,0,2,0,0,16,25,64.0,2,2,1,0
Lee Young-ju,CM,32-009,90,0,0,0,0,0,0,41,3,2,0,0,0,19,30,63.3,0,0,1,1
Cristina Librán,CM,18-111,54,0,0,0,0,0,0,27,2,3,2,0,0,15,20,75.0,1,1,0,0
Ana González,"RM,FW",29-036,36,0,0,1,0,0,0,56,5,1,2,0,0,42,45,93.3,3,1,0,0
Gio,"RM,LM",20-315,90,0,0,0,0,0,0,18,1,1,0,0,0,10,13,76.9,1,1,4,2
Aída Esteve,"CB,LB",23-050,54,0,0,1,0,0,0,20,0,0,2,2,0,9,13,69.2,1,4,1,1
Sandra Villafañe,CB,18-226,36,0,0,0,0,0,0,55,5,0,2,0,0,32,43,74.4,0,1,0,0
Camila Sáez,CB,29-197,90,0,0,0,0,0,0,65,0,2,4,1,0,49,56,87.5,0,0,0,0
Mônica,CB,46-027,90,0,0,0,0,0,0,57,1,0,1,0,0,44,48,91.7,0,0,1,0
Aldana Cometti,"LM,RM",28-059,90,0,0,0,0,0,0,25,1,1,1,0,0,16,20,80.0,0,0,0,0
Lucia Pardo,RB,24-117,45,0,0,1,1,0,0,20,1,0,1,0,0,9,15,60.0,1,2,2,1
Itziar Pinillos,RB,23-223,45,0,0,0,0,0,0,26,2,0,0,0,0,12,23,52.2,0,1,1,0
Esther Laborde,GK,20-011,54,0,0,0,0,0,0,24,4,0,0,1,0,11,17,64.7,1,0,0,0
Andrea Gómez,FW,20-356,62,0,0,1,1,0,0,24,2,0,4,0,0,10,15,66.7,1,0,0,0
Carlota Suárez,FW,26-290,28,0,0,0,0,0,0,11,0,0,0,0,0,3,8,37.5,1,0,0,0
Laura Pérez,FW,25-324,62,1,0,0,0,1,0,17,1,0,0,2,2,6,9,66.7,0,0,3,0
Edna Imade,FW,23-212,28,0,0,1,0,0,0,6,0,0,0,0,0,2,5,40.0,0,2,1,1
Ariadna Mingueza,CM,21-043,90,0,0,0,0,0,0,34,1,3,0,2,0,18,26,69.2,0,0,0,0
Alicia Redondo,CM,22-184,90,0,0,1,1,0,0,42,2,0,1,0,0,29,36,80.6,0,0,0,0
Laura Requena,CM,33-345,74,0,0,0,0,1,0,30,3,1,1,0,0,12,21,57.1,1,0,1,0
Naima García,CM,25-315,16,0,0,0,0,0,0,6,0,0,0,0,0,2,4,50.0,0,0,0,0
Esther Martín-Pozuelo,LB,25-209,90,0,0,0,0,0,0,42,2,0,3,0,0,17,27,63.0,1,0,0,0
Isabel Álvarez,CB,24-327,80,0,0,0,0,0,0,39,0,2,1,0,0,15,27,55.6,0,0,0,0
Gaste,CB,31-000,10,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100.0,0,0,0,0
Marta Carrasco,CB,29-231,90,0,0,0,0,0,0,18,0,2,2,0,0,5,8,62.5,0,0,0,0
Naroa Uriarte,CB,23-089,90,0,0,0,0,0,0,26,4,1,0,0,0,10,15,66.7,0,0,0,0
Ornella María Vignola,RB,19-217,74,0,0,0,0,0,0,14,1,0,1,0,0,9,13,69.2,1,0,0,0
Alba Pérez,RB,23-321,16,0,0,0,0,0,0,3,1,0,0,0,0,1,1,100.0,0,0,0,0
Sandra Estévez,GK,21-304,90,0,0,0,0,0,0,45,0,0,0,0,0,17,40,42.5,0,0,0,0
16 Players,FW,21-304,990,1,0,3,2,2,0,358,17,9,13,4,2,157,256,61.3,5,2,5,1
Salma Paralluelo,FW,20-173,90,0,0,0,0,1,0,29,0,0,2,2,1,15,22,68.2,1,1,1,0
Bruna Vilamala,"LW,LB",21-335,71,0,0,1,0,0,0,9,0,0,1,1,0,6,6,100.0,0,0,0,0
Fridolina Rolfö,LB,30-162,19,2,1,3,2,0,0,70,1,0,2,5,1,45,59,76.3,4,3,2,1
Esmee Brugts,RW,20-281,77,0,0,0,0,0,0,17,0,0,0,2,0,13,15,86.7,3,1,1,0
Caroline Graham Hansen,LM,29-076,13,1,1,7,1,0,0,73,0,1,3,7,1,43,57,75.4,8,7,4,3
Alexia Putellas,LW,30-090,90,0,0,1,0,0,0,31,1,0,0,1,0,21,26,80.8,3,1,2,1
Claudia Pina,CM,22-266,58,0,0,3,1,0,0,28,0,0,2,4,1,14,19,73.7,5,1,3,1
Keira Walsh,RM,27-026,32,0,0,0,0,0,0,79,4,1,1,2,0,65,70,92.9,8,1,0,0
Aitana Bonmatí,LB,26-107,90,0,0,0,0,0,0,62,1,0,0,5,1,49,60,81.7,9,1,3,2
Ona Batlle,LM,24-329,90,0,0,0,0,0,0,54,1,1,0,4,2,47,50,94.0,10,5,3,3
Mariona Caldentey,CB,28-046,57,0,0,4,2,0,0,43,1,0,1,5,0,31,38,81.6,6,5,2,2
Ingrid Syrstad Engen,CB,26-005,33,0,0,0,0,0,0,102,1,1,0,1,0,93,100,93.0,15,1,0,0
Jana Fernández,CB,22-076,77,0,0,0,0,0,0,14,1,0,0,0,0,12,12,100.0,4,0,0,0
Irene Paredes,RB,32-305,13,0,0,1,0,1,0,94,3,2,0,0,0,82,88,93.2,15,0,0,0
Lucy Bronze,GK,32-189,90,1,0,2,1,0,0,98,1,0,1,4,1,70,83,84.3,18,6,2,0
Mariona Caldentey,FW,28-052,90,2,1,3,2,0,0,81,0,1,1,13,3,57,69,82.6,5,3,3,2
Esmee Brugts,LW,20-287,62,1,0,5,2,0,0,42,0,1,0,2,0,28,34,82.4,2,4,4,3
Alexia Putellas,LW,30-096,28,0,0,1,0,0,0,32,0,0,1,4,0,25,31,80.6,4,2,0,0
Bruna Vilamala,RW,21-341,61,1,1,3,2,0,0,32,0,0,0,1,1,24,29,82.8,0,0,0,0
Caroline Graham Hansen,RW,29-082,29,0,0,3,0,0,0,19,0,0,0,0,0,7,15,46.7,1,4,1,1
Claudia Pina,LM,22-272,90,0,0,2,1,0,0,79,0,0,1,11,1,62,73,84.9,12,1,3,2
Patricia Guijarro,CM,25-359,90,0,0,3,1,0,0,108,1,0,0,6,1,92,102,90.2,12,0,0,0
Victoria López,RM,17-289,62,2,0,3,2,0,0,58,3,0,1,4,1,46,54,85.2,6,1,1,1
Aitana Bonmatí,RM,26-113,28,0,1,2,1,0,0,26,0,0,0,3,1,20,23,87.0,1,0,0,0
Ona Batlle,LB,24-335,90,1,1,1,1,0,0,97,2,1,2,2,1,77,89,86.5,6,4,0,0
Jana Fernández,CB,22-082,69,0,0,1,0,0,0,83,0,1,0,0,0,74,79,93.7,7,2,0,0
Ingrid Syrstad Engen,CB,26-011,21,0,0,0,0,0,0,24,0,0,0,0,0,21,23,91.3,3,0,0,0
Marta Torrejón,CB,34-073,69,0,0,0,0,0,0,81,0,1,1,2,0,70,80,87.5,6,0,0,0
Irene Paredes,CB,32-311,21,0,0,0,0,0,0,25,0,1,0,1,0,24,24,100.0,3,0,0,0
Lucy Bronze,RB,32-195,90,0,0,3,1,0,0,100,2,2,0,4,1,82,92,89.1,12,2,0,0
Cata Coll,GK,23-017,90,0,0,0,0,0,0,28,0,0,0,0,0,26,27,96.3,0,0,0,0
16 Players,FW,23-017,990,7,4,30,13,0,0,915,8,8,7,53,10,735,844,87.1,80,23,12,9
Ane Azkona,FW,25-300,90,0,0,0,0,0,0,27,1,0,1,0,0,15,18,83.3,0,0,1,0
Jone Amezaga,FW,19-129,62,0,0,0,0,0,0,6,0,0,0,0,0,4,4,100.0,0,0,0,0
Nahikari García,FW,27-061,28,0,0,0,0,0,0,25,0,0,1,0,0,12,21,57.1,0,0,2,0
Patricia Zugasti,LW,23-277,62,0,0,0,0,0,0,11,0,1,0,2,0,8,9,88.9,1,0,1,1
Nerea Nevado,LW,23-013,28,0,0,0,0,0,0,34,0,0,1,0,0,24,31,77.4,1,0,1,1
Garazi Fácila,RW,24-198,72,0,0,0,0,0,0,11,0,1,0,0,0,5,9,55.6,0,0,0,0
Sara Ortega,RW,19-080,18,0,0,0,0,0,0,21,0,0,0,0,0,12,16,75.0,1,1,0,0
Ane Elexpuru,CM,21-008,62,0,0,1,1,0,0,15,1,0,0,0,0,5,11,45.5,0,1,0,0
Clara Pinedo,CM,20-244,28,0,0,0,0,0,0,44,0,1,1,0,0,30,36,83.3,0,1,1,0
Maite Zubieta,DM,19-348,90,0,0,0,0,0,0,34,3,1,2,0,0,21,24,87.5,0,1,0,0
Irene Oguiza,DM,24-126,90,0,0,0,0,0,0,37,3,1,2,0,0,24,28,85.7,0,0,0,0
Mariana Cerro,CB,23-354,54,0,0,0,0,0,0,11,0,0,0,0,0,6,10,60.0,1,0,0,0
Bibiane Schulze-Solano,CB,25-180,36,0,0,0,0,0,0,52,0,3,0,0,0,33,45,73.3,0,0,0,0
Maddi Torre,CB,28-041,90,0,0,0,0,0,0,55,2,4,4,0,0,31,36,86.1,0,0,0,0
Naia Landaluze,GK,23-228,90,0,0,0,0,0,0,45,3,6,2,0,0,23,31,74.2,0,0,0,0
Ane Campos,FW,24-359,63,0,0,1,0,0,0,20,1,0,0,1,0,4,7,57.1,0,1,2,0
Eva Van Deursen,CM,25-114,27,0,0,0,0,0,0,8,0,1,0,0,0,2,4,50.0,0,0,0,0
Eider Arana,LM,22-033,90,0,0,0,0,0,0,26,1,0,2,0,0,10,16,62.5,0,0,0,0
Bernadette Amani,CM,26-252,63,0,0,0,0,0,0,23,0,2,4,2,0,9,15,60.0,1,0,1,1
Honoka Yonei,DM,25-025,27,0,0,0,0,0,0,6,2,0,0,1,0,2,4,50.0,1,0,0,0
Arene Altonaga,CM,31-079,74,0,0,0,0,0,0,30,3,0,0,1,0,12,20,60.0,2,0,1,0
Zaira Flores,CM,30-192,16,0,0,1,1,0,0,6,0,0,0,0,0,3,4,75.0,0,0,1,0
Annelie Leitner,RM,27-334,90,0,0,2,1,0,0,25,1,0,0,2,0,5,15,33.3,1,0,0,0
Elba Vergés Prats,"DM,CB",28-203,90,0,0,0,0,0,0,40,1,2,2,0,0,15,27,55.6,1,0,2,1
Noko Matlou,LB,38-227,80,0,0,0,0,0,0,22,1,1,2,0,0,4,13,30.8,0,0,0,0
Puyi,LB,29-202,10,0,0,0,0,0,0,2,0,0,0,0,0,1,2,50.0,0,0,0,0
Juliana,CB,32-251,90,0,0,0,0,1,0,28,1,0,2,0,0,12,15,80.0,0,0,0,0
Carla Andrés,CB,21-154,63,0,0,0,0,0,0,33,0,2,2,0,0,13,22,59.1,0,0,0,0
Esperanza Pizarro,FW,23-029,27,0,0,1,0,0,0,17,0,0,1,0,0,5,9,55.6,2,2,3,1
Andrea Sierra,RB,25-365,90,0,0,0,0,0,0,40,6,2,3,1,0,10,21,47.6,0,0,4,4
Noelia García,GK,31-232,90,0,0,0,0,0,0,30,0,0,0,1,0,21,28,75.0,0,0,0,0
16 Players,FW,31-232,990,0,0,5,2,1,0,356,17,10,18,9,0,128,222,57.7,8,3,14,7
Ariana Jimenez,"FW,LB",20-355,90,0,0,2,0,0,0,8,0,0,0,0,0,3,3,100.0,0,0,0,0
Esmee Brugts,LW,20-291,71,0,0,0,0,0,0,17,0,1,0,1,0,12,14,85.7,0,0,0,0
Salma Paralluelo,RW,20-183,19,1,0,4,1,0,0,57,1,0,0,5,2,40,45,88.9,3,3,8,3
Caroline Graham Hansen,"RM,RW",29-086,90,1,1,5,1,0,0,69,0,0,0,5,2,40,61,65.6,1,11,4,3
Victoria López,LM,17-293,62,0,0,0,0,0,0,15,0,1,0,2,1,12,13,92.3,2,0,1,0
Alexia Putellas,CM,30-100,28,1,0,4,1,0,0,135,1,0,0,9,1,100,127,78.7,18,4,1,0
Keira Walsh,RM,27-036,90,0,0,0,0,0,0,145,1,1,0,5,0,130,140,92.9,15,0,0,0
Aitana Bonmatí,"RW,RM",26-117,90,0,1,2,1,0,0,76,2,0,1,4,1,58,66,87.9,11,2,2,1
Bruna Vilamala,LB,21-345,62,0,1,2,0,0,0,24,0,0,0,3,1,17,22,77.3,1,1,2,2
Fridolina Rolfö,"LB,FW",30-172,28,0,0,0,0,0,0,63,3,0,0,1,0,51,59,86.4,1,2,0,0
Giulia Dragoni,CB,17-189,71,0,0,0,0,0,0,14,2,0,1,0,0,9,10,90.0,0,1,2,0
Ingrid Syrstad Engen,CB,26-015,19,0,0,0,0,0,0,127,2,1,1,5,0,115,121,95.0,19,3,0,0
Martina Fernández,CB,19-226,71,0,0,0,0,0,0,20,0,0,0,0,0,19,20,95.0,0,0,0,0
Jana Fernández,RB,22-086,19,0,0,1,0,0,0,94,3,2,0,2,0,80,87,92.0,14,0,0,0
Marta Torrejón,GK,34-077,90,1,0,4,1,0,0,118,0,0,1,3,0,99,110,90.0,8,1,0,0
