Player,Pos,Age,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,SCA,GCA,Cmp,Att,cpm%,PrgP,PrgC,TOatt,TOsucc
Xènia Pérez,RM,22-113,22,0,0,0,0,0,0,46,3,3,2,0,0,26,37,70.3,1,0,1,1
Vilde Bøe Risa,RM,28-220,90,0,0,0,0,0,0,43,0,0,1,0,0,31,41,75.6,0,1,1,1
Estefanía Banini,LB,33-242,65,0,0,0,0,0,0,21,1,0,0,0,0,11,15,73.3,0,0,0,0
Ainhoa Vicente,CB,28-182,25,0,0,0,0,0,0,63,3,5,4,0,0,31,46,67.4,0,0,0,0
Carmen Menayo,CB,25-310,90,0,0,0,0,0,0,56,1,3,2,1,0,36,43,83.7,0,0,0,0
Cinta Rodríguez,RB,24-103,90,0,0,0,0,0,0,43,0,0,2,0,0,33,38,86.8,0,0,0,0
Sheila García,GK,26-340,90,0,0,0,0,0,0,65,3,1,5,0,0,40,49,81.6,2,1,1,0
Cecilia Marcos,"FW,CM",22-128,77,0,0,1,0,0,0,26,2,4,0,3,0,4,9,44.4,0,0,5,0
Emma Ramírez,CM,21-305,13,0,0,0,0,0,0,4,1,0,0,0,0,2,3,66.7,0,0,0,0
Mirari Uria,FW,21-069,77,0,0,0,0,0,0,21,0,0,2,1,0,13,16,81.3,1,0,0,0
Nerea Eizaguirre,FW,24-066,13,0,0,0,0,0,0,8,1,0,0,1,1,6,7,85.7,1,0,1,0
Izarne Sarasola,"LW,CB",22-022,90,0,0,0,0,0,0,37,1,2,1,1,0,16,29,55.2,1,2,1,1
Haizea Uranga,RW,21-007,90,0,0,0,0,0,0,37,3,1,2,0,0,12,26,46.2,0,0,1,0
Jacqueline Owusu,CM,21-272,90,0,0,1,1,0,0,38,1,1,3,0,0,17,28,60.7,3,4,3,1
Iris Arnaiz Gil,"CM,LW",29-297,77,0,0,0,0,0,0,37,1,2,1,0,0,20,27,74.1,3,0,1,1
Lorena Navarro,LW,23-120,13,0,0,0,0,0,0,3,1,0,0,0,0,2,2,100.0,0,0,0,0
Elene Guridi,DM,21-228,90,0,1,1,0,0,0,27,1,1,1,1,1,14,19,73.7,2,2,1,0
Manuela Vanegas,CB,23-122,65,0,0,1,0,0,0,36,0,1,0,1,0,19,29,65.5,1,0,0,0
Amaiur Sarriegi,"FW,CB",23-088,25,1,0,1,1,0,0,11,0,0,0,0,0,3,3,100.0,1,0,3,0
Ane Etxezarreta,CB,28-199,90,0,0,0,0,0,0,37,2,2,6,1,0,15,18,83.3,1,0,1,0
Ana Tejada,CB,21-282,90,0,0,1,0,0,0,41,1,3,1,2,0,17,23,73.9,0,0,1,0
Elene Lete,GK,21-308,90,0,0,0,0,0,0,51,0,0,0,0,0,32,45,71.1,0,0,0,0
Esmee Brugts,FW,21-308,990,1,1,6,2,0,0,414,15,17,17,11,2,192,284,67.6,14,8,18,3
Claudia Pina,FW,20-226,90,0,0,3,1,0,0,24,1,0,0,1,0,13,17,76.5,1,1,2,0
Salma Paralluelo,LW,22-211,73,0,0,1,1,0,0,13,1,0,0,3,0,9,10,90.0,3,2,2,1
Bruna Vilamala,LW,20-118,17,4,0,9,4,0,0,51,1,0,0,6,0,29,37,78.4,2,2,4,2
Caroline Graham Hansen,RW,21-280,66,0,0,2,1,0,0,8,0,0,1,2,1,5,5,100.0,1,0,0,0
Mariona Caldentey,LM,29-021,24,1,1,6,3,0,0,78,0,0,1,19,2,43,63,68.3,4,14,5,2
Alexia Putellas,LM,27-357,90,0,0,4,1,0,0,77,2,1,0,7,1,60,68,88.2,21,5,4,4
Keira Walsh,CM,30-035,66,1,0,3,2,0,0,24,0,0,0,3,0,16,19,84.2,6,0,2,0
Victoria López,RM,26-337,24,0,1,0,0,0,0,96,0,1,3,4,1,83,86,96.5,12,0,2,1
Ona Batlle,LB,17-228,90,1,1,4,2,0,0,76,2,1,0,7,3,51,63,81.0,12,2,2,1
Fridolina Rolfö,LB,24-274,90,0,1,2,1,0,0,62,3,2,0,5,1,46,53,86.8,1,0,1,0
Martina Fernández,CB,30-107,66,0,0,0,0,0,0,31,0,0,0,1,0,30,30,100.0,3,1,0,0
Irene Paredes,CB,19-161,24,0,0,1,0,0,0,64,0,0,0,0,0,56,61,91.8,2,0,0,0
Marta Torrejón,CB,32-250,90,0,0,1,0,1,0,90,3,4,0,0,0,68,79,86.1,5,1,0,0
Lucy Bronze,RB,34-012,73,0,0,0,0,0,0,13,2,0,0,0,0,10,11,90.9,0,0,0,0
Cata Coll,GK,32-134,17,0,1,1,0,0,0,90,1,1,1,9,2,69,84,82.1,9,5,0,0
Esmee Brugts,FW,20-233,90,0,0,2,1,0,0,45,0,0,0,7,0,36,41,87.8,3,4,0,0
Claudia Pina,LW,22-218,90,2,0,6,2,0,0,54,0,1,0,11,2,34,43,79.1,3,3,2,1
Caroline Graham Hansen,RW,29-028,61,1,2,3,2,0,0,53,3,1,0,5,2,32,42,76.2,1,3,3,1
Aitana Bonmatí,RW,26-059,29,0,0,1,1,0,0,22,0,0,0,3,0,16,20,80.0,5,1,1,0
Alexia Putellas,LM,30-042,61,1,1,6,2,0,0,62,0,0,0,4,1,47,53,88.7,7,0,0,0
Bruna Vilamala,LM,21-287,29,0,0,0,0,0,0,14,1,1,0,2,0,13,14,92.9,1,1,0,0
Keira Walsh,CM,26-344,70,0,0,1,1,0,0,72,1,0,0,3,0,64,70,91.4,13,0,0,0
Patricia Guijarro,CM,25-305,20,0,0,1,0,0,0,23,2,1,0,2,0,19,20,95.0,4,0,0,0
Victoria López,RM,17-235,90,0,0,3,1,1,0,45,3,0,0,3,0,28,32,87.5,6,2,1,0
Fridolina Rolfö,LB,30-114,61,1,0,1,1,0,0,76,1,1,2,3,2,59,68,86.8,7,1,0,0
Mariona Caldentey,LB,27-364,29,0,0,2,0,0,0,30,0,0,0,4,0,22,28,78.6,4,4,1,1
Irene Paredes,CB,32-257,70,0,2,0,0,0,0,90,0,0,0,3,2,80,87,92.0,27,2,0,0
Ingrid Syrstad Engen,CB,25-323,20,0,0,0,0,0,0,28,1,0,0,1,0,26,27,96.3,5,0,0,0
Martina Fernández,CB,19-168,90,0,1,0,0,1,0,92,0,0,0,2,1,82,87,94.3,12,1,0,0
Marta Torrejón,RB,34-019,90,1,0,4,2,0,0,88,0,1,1,2,1,67,81,82.7,8,3,0,0
Cata Coll,GK,22-329,90,0,0,0,0,0,0,15,0,0,0,0,0,14,14,100.0,0,0,0,0
16 Players,FW,22-329,990,6,6,30,13,2,0,809,12,6,3,55,11,639,727,87.9,106,25,8,3
Jassina Blom,LM,29-196,90,0,0,0,0,0,0,29,2,0,2,1,0,12,16,75.0,1,1,2,1
Rinsola Babajide,LM,25-274,90,0,0,0,0,0,0,21,1,0,2,0,0,5,11,45.5,0,1,2,1
Gift Monday,CM,22-099,66,0,0,0,0,0,0,8,0,0,1,3,0,5,6,83.3,1,2,1,1
Paola Hernández,CM,21-236,24,0,0,0,0,0,0,17,2,1,0,0,0,8,11,72.7,1,0,0,0
Sandra Hernández,CM,26-297,74,0,0,0,0,0,0,3,0,0,1,0,0,2,3,66.7,0,0,0,0
Natalia Ramos,CM,25-036,16,0,0,0,0,1,0,10,0,2,0,0,0,3,7,42.9,0,0,0,0
Sara Pavlović,RM,27-312,45,0,0,1,0,0,0,17,1,1,1,1,0,8,11,72.7,1,0,0,0
Claudia Blanco,LB,27-006,45,0,0,0,0,0,0,28,0,2,1,1,0,11,19,57.9,1,0,3,2
Raquel Peña,LB,35-088,90,0,0,0,0,0,0,21,2,2,0,0,0,8,15,53.3,0,0,1,0
Thaís da Silva,CB,27-321,41,0,0,0,0,0,0,19,1,1,0,0,0,13,16,81.3,1,1,0,0
Agustina Barroso,CB,30-302,49,0,0,0,0,0,0,37,0,1,2,0,0,21,27,77.8,0,0,0,0
Andrea Marrero,CB,27-163,90,0,0,0,0,0,0,27,0,2,1,0,0,12,14,85.7,0,0,0,0
María Estella,RB,29-281,90,0,0,1,1,0,0,35,1,1,1,0,0,12,27,44.4,1,0,0,0
Aleksandra Zaremba,RM,23-027,90,0,0,0,0,0,0,11,0,0,0,0,0,7,9,77.8,0,1,0,0
María José Pérez,GK,39-364,45,0,0,1,0,0,0,17,1,1,0,0,0,7,9,77.8,1,0,2,1
Larissa Crummer,FW,28-070,78,0,0,0,0,0,0,26,1,1,1,0,0,11,19,57.9,1,0,1,0
Sara Jane Ritter,CB,18-239,12,0,0,0,0,0,0,6,0,1,0,0,0,3,4,75.0,0,0,0,0
Rakel Engesvik,AM,25-179,55,0,0,0,0,1,0,14,0,0,0,0,0,8,12,66.7,0,0,2,2
Amalie Eikeland,AM,28-207,35,0,0,0,0,0,0,18,1,1,3,0,0,6,9,66.7,0,1,2,1
Signe Gaupset,AM,18-276,85,0,0,1,0,0,0,35,2,0,3,1,0,14,20,70.0,0,1,2,2
Tomine Svendheim,AM,18-018,5,0,0,0,0,0,0,6,0,0,0,0,0,2,4,50.0,0,0,0,0
Justine Kielland,CM,21-119,78,0,0,1,1,0,0,53,3,0,0,2,1,32,42,76.2,2,0,2,0
Johanna Renmark,CM,20-170,12,0,0,0,0,0,0,4,0,0,2,0,0,0,1,0.0,0,0,1,0
Karoline Heimvik Haugland,CM,26-026,90,0,0,0,0,0,0,40,1,0,2,0,0,22,29,75.9,1,0,4,1
Marit Bratberg Lund,WB,26-134,90,0,0,1,0,0,0,63,3,0,2,0,0,42,53,79.2,0,0,0,0
Cecilie Kvamme,WB,28-132,90,1,0,1,1,0,0,38,2,2,1,0,0,18,29,62.1,1,1,0,0
Joanna Tynnilä,CB,22-201,78,0,0,0,0,1,0,48,1,0,0,0,0,38,43,88.4,1,1,0,0
Anna Aahjem,FW,24-061,12,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0.0,0,0,1,0
Marthine Østenstad,CB,23-002,90,0,0,0,0,0,0,59,3,0,5,0,0,29,36,80.6,1,0,0,0
